1	1	5	201
1	1	6	229
1	1	7	252
1	2	5	160.8
1	2	6	183.2
1	2	7	201.6
2	1	5	196
2	1	6	224
2	1	7	247
2	2	5	156.8
2	2	6	179.2
2	2	7	197.6
3	1	5	206
3	1	6	234
3	1	7	256
3	2	5	164.8
3	2	6	187.2
3	2	7	204.8
4	1	5	172
4	1	6	201
4	1	7	225
4	2	5	137.6
4	2	6	160.8
4	2	7	180
5	1	5	172
5	1	6	201
5	1	7	225
5	2	5	137.6
5	2	6	160.8
5	2	7	180
6	1	5	190
6	1	6	219
6	1	7	242
6	2	5	152
6	2	6	175.2
6	2	7	193.6
7	1	5	196
7	1	6	224
7	1	7	247
7	2	5	156.8
7	2	6	179.2
7	2	7	197.6
8	1	5	201
8	1	6	229
8	1	7	252
8	2	5	160.8
8	2	6	183.2
8	2	7	201.6
9	1	5	201
9	1	6	229
9	1	7	252
9	2	5	160.8
9	2	6	183.2
9	2	7	201.6
10	1	5	172
10	1	6	201
10	1	7	225
10	2	5	137.6
10	2	6	160.8
10	2	7	180
11	1	5	158
11	1	6	188
11	1	7	212
11	2	5	126.4
11	2	6	150.4
11	2	7	169.6
12	1	5	196
12	1	6	224
12	1	7	247
12	2	5	156.8
12	2	6	179.2
12	2	7	197.6
13	1	5	184
13	1	6	213
13	1	7	236
13	2	5	147.2
13	2	6	170.4
13	2	7	188.8
14	1	5	165
14	1	6	195
14	1	7	219
14	2	5	132
14	2	6	156
14	2	7	175.2
15	1	5	151
15	1	6	181
15	1	7	205
15	2	5	120.8
15	2	6	144.8
15	2	7	164
16	1	5	165
16	1	6	195
16	1	7	219
16	2	5	132
16	2	6	156
16	2	7	175.2
17	1	5	184
17	1	6	213
17	1	7	236
17	2	5	147.2
17	2	6	170.4
17	2	7	188.8
18	1	5	165
18	1	6	195
18	1	7	219
18	2	5	132
18	2	6	156
18	2	7	175.2
19	1	5	206
19	1	6	234
19	1	7	256
19	2	5	164.8
19	2	6	187.2
19	2	7	204.8
20	1	5	172
20	1	6	201
20	1	7	225
20	2	5	137.6
20	2	6	160.8
20	2	7	180
21	1	5	165
21	1	6	195
21	1	7	219
21	2	5	132
21	2	6	156
21	2	7	175.2
22	1	5	158
22	1	6	188
22	1	7	212
22	2	5	126.4
22	2	6	150.4
22	2	7	169.6
23	1	5	206
23	1	6	234
23	1	7	256
23	2	5	164.8
23	2	6	187.2
23	2	7	204.8
24	1	5	158
24	1	6	188
24	1	7	212
24	2	5	126.4
24	2	6	150.4
24	2	7	169.6
25	1	5	184
25	1	6	213
25	1	7	236
25	2	5	147.2
25	2	6	170.4
25	2	7	188.8
26	1	5	178
26	1	6	207
26	1	7	231
26	2	5	142.4
26	2	6	165.6
26	2	7	184.8
27	1	5	151
27	1	6	181
27	1	7	205
27	2	5	120.8
27	2	6	144.8
27	2	7	164
28	1	5	172
28	1	6	201
28	1	7	225
28	2	5	137.6
28	2	6	160.8
28	2	7	180
29	1	5	201
29	1	6	229
29	1	7	252
29	2	5	160.8
29	2	6	183.2
29	2	7	201.6
30	1	5	190
30	1	6	219
30	1	7	242
30	2	5	152
30	2	6	175.2
30	2	7	193.6
31	1	5	151
31	1	6	181
31	1	7	205
31	2	5	120.8
31	2	6	144.8
31	2	7	164
32	1	5	165
32	1	6	195
32	1	7	219
32	2	5	132
